"","GEOID","NAME","variable","estimate","moe"
"1","1915390042","Allen township, Polk County, Iowa","B08103_001",43.1,3.1
"2","1915390168","Beaver township, Polk County, Iowa","B08103_001",47.1,1.9
"3","1915390270","Bloomfield township, Polk County, Iowa","B08103_001",41,1.8
"4","1915390456","Camp township, Polk County, Iowa","B08103_001",44.9,2.9
"5","1915390690","Clay township, Polk County, Iowa","B08103_001",41.7,1
"6","1915390858","Crocker township, Polk County, Iowa","B08103_001",37.5,0.7
"7","1915390951","Delaware township, Polk County, Iowa","B08103_001",43.4,2.3
"8","1915390987","Des Moines township, Polk County, Iowa","B08103_001",37.9,0.6
"9","1915391056","Douglas township, Polk County, Iowa","B08103_001",37.2,2.1
"10","1915391185","Elkhart township, Polk County, Iowa","B08103_001",42.5,4.8
"11","1915391371","Four Mile township, Polk County, Iowa","B08103_001",42.9,1.5
"12","1915391425","Franklin township, Polk County, Iowa","B08103_001",40,2.8
"13","1915392247","Jefferson township, Polk County, Iowa","B08103_001",43.4,2.7
"14","1915392409","Lee township, Polk County, Iowa","B08103_001",38.1,0.7
"15","1915392595","Lincoln township, Polk County, Iowa","B08103_001",48.3,4.4
"16","1915392781","Madison township, Polk County, Iowa","B08103_001",40.5,2
"17","1915393759","Saylor township, Polk County, Iowa","B08103_001",44.7,4.2
"18","1915393762","Saylorville Reservoir UT, Polk County, Iowa","B08103_001",NA,NA
"19","1915394257","Union township, Polk County, Iowa","B08103_001",45,21.1
"20","1915394410","Walnut township, Polk County, Iowa","B08103_001",41.9,0.9
"21","1915394548","Washington township, Polk County, Iowa","B08103_001",50.1,10
"22","1915394629","Webster township, Polk County, Iowa","B08103_001",42.6,1.3
